2023-03-28 22:06:20,795 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2023-03-28 22:06:20,845 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2023-03-28 22:06:20,845 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2023-03-28 22:06:20,845 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2023-03-28 22:06:20,855 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2023-03-28 22:06:20,855 INFO  SwAddin.cs: 197 - Setting up callbacks
2023-03-28 22:06:20,855 INFO  SwAddin.cs: 201 - Setting up command manager
2023-03-28 22:06:20,855 INFO  SwAddin.cs: 204 - Adding command manager
2023-03-28 22:06:20,855 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2023-03-28 22:06:20,855 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2023-03-28 22:06:20,865 INFO  SwAddin.cs: 210 - Adding event handlers
2023-03-28 22:06:21,025 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2023-03-28 22:24:32,381 INFO  SwAddin.cs: 294 - Assembly export called for file montaj steering yok v10
2023-03-28 22:24:32,391 INFO  SwAddin.cs: 299 - Save is required
2023-03-28 22:24:32,391 INFO  SwAddin.cs: 313 - Saving assembly
2023-03-28 22:24:34,661 INFO  SwAddin.cs: 316 - Opening property manager
2023-03-28 22:24:34,805 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from montaj steering yok v10
2023-03-28 22:24:34,825 INFO  ExportHelperExtension.cs: 1136 - Found 23 in montaj steering yok v10
2023-03-28 22:24:34,835 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in montaj steering yok v10
2023-03-28 22:24:34,835 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-03-28 22:24:34,835 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2023-03-28 22:24:34,835 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from montaj steering yok v10.step-1
2023-03-28 22:24:34,835 INFO  ExportHelperExtension.cs: 1136 - Found 57 in montaj steering yok v10.step-1
2023-03-28 22:24:34,835 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in montaj steering yok v10.step-1
2023-03-28 22:24:34,835 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from montaj steering yok v10
2023-03-28 22:24:34,835 INFO  ExportHelperExtension.cs: 1136 - Found 23 in montaj steering yok v10
2023-03-28 22:24:34,835 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in montaj steering yok v10
2023-03-28 22:24:34,835 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-03-28 22:24:34,835 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2023-03-28 22:24:34,835 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from montaj steering yok v10.step-1
2023-03-28 22:24:34,845 INFO  ExportHelperExtension.cs: 1136 - Found 57 in montaj steering yok v10.step-1
2023-03-28 22:24:34,845 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in montaj steering yok v10.step-1
2023-03-28 22:24:39,085 INFO  SwAddin.cs: 339 - Loading config tree
2023-03-28 22:24:39,085 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2023-03-28 22:24:39,095 INFO  SwAddin.cs: 344 - Showing property manager
2023-03-28 22:24:49,966 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-03-28 22:25:35,586 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-03-28 22:27:15,908 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2023-03-28 22:28:55,900 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2023-03-28 22:28:59,468 INFO  ExportHelperExtension.cs: 347 - Creating joint leftLeg
2023-03-28 22:28:59,478 INFO  ExportHelperExtension.cs: 1397 - Fixing components for body
2023-03-28 22:28:59,478 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2023-03-28 22:28:59,478 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2023-03-28 22:28:59,478 INFO  ExportHelperExtension.cs: 1402 - Fixing 31
2023-03-28 22:28:59,478 INFO  ExportHelperExtension.cs: 1409 - Component 31 is already fixed
2023-03-28 22:28:59,478 INFO  ExportHelperExtension.cs: 1402 - Fixing 32
2023-03-28 22:28:59,478 INFO  ExportHelperExtension.cs: 1409 - Component 32 is already fixed
2023-03-28 22:28:59,528 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2023-03-28 22:28:59,528 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2023-03-28 22:28:59,528 INFO  ExportHelperExtension.cs: 849 - L1: 0
2023-03-28 22:28:59,528 INFO  ExportHelperExtension.cs: 857 - L2: 0
2023-03-28 22:29:00,862 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent body to child leftLeg failed
2023-03-28 22:29:00,912 INFO  ExportHelperExtension.cs: 347 - Creating joint teker1
2023-03-28 22:29:00,912 INFO  ExportHelperExtension.cs: 1397 - Fixing components for leftLeg
2023-03-28 22:29:00,912 INFO  ExportHelperExtension.cs: 1402 - Fixing 41
2023-03-28 22:29:00,912 INFO  ExportHelperExtension.cs: 1409 - Component 41 is already fixed
2023-03-28 22:29:00,912 INFO  ExportHelperExtension.cs: 1402 - Fixing 43
2023-03-28 22:29:00,912 INFO  ExportHelperExtension.cs: 1409 - Component 43 is already fixed
2023-03-28 22:29:00,912 INFO  ExportHelperExtension.cs: 1402 - Fixing 39
2023-03-28 22:29:00,912 INFO  ExportHelperExtension.cs: 1409 - Component 39 is already fixed
2023-03-28 22:29:00,912 INFO  ExportHelperExtension.cs: 1402 - Fixing 35
2023-03-28 22:29:00,912 INFO  ExportHelperExtension.cs: 1409 - Component 35 is already fixed
2023-03-28 22:29:00,912 INFO  ExportHelperExtension.cs: 1402 - Fixing 56
2023-03-28 22:29:00,912 INFO  ExportHelperExtension.cs: 1409 - Component 56 is already fixed
2023-03-28 22:29:00,912 INFO  ExportHelperExtension.cs: 1402 - Fixing 46
2023-03-28 22:29:00,912 INFO  ExportHelperExtension.cs: 1409 - Component 46 is already fixed
2023-03-28 22:29:00,912 INFO  ExportHelperExtension.cs: 1402 - Fixing 44
